time,foot1,foot2,hand1,hand2,pos1,pos2,result,score,bout
2:27:05,,,,,,,,,
2:27:06,,,,,,,,,
2:27:07,,,,,,,,,
2:27:08,ff,,,,,,,,
2:27:09,fs,ff,,,,,,,
2:27:10,,as,,,,,,,
2:27:11,,,,,,,,,
2:27:12,,,,,,,,,
2:27:13,,,,,,,,,
2:27:14,ff,,,,,,,,
2:27:15,as,,,,,,,,
2:27:16,,,,,,,,,
2:27:17,,,,,,,,,
2:27:18,,,,,,,,,
2:27:19,,,,,,,,,
2:27:20,,,,,,,,,
2:27:21,,,,,,,,,
2:27:22,af,af,,,,,,,
,,,,,,,b,,
,,,,,,,,,12
2:42:21,fs,fs,,,,,,,
2:42:22,,,,,,,,,
2:42:23,,,,,,,,,
2:42:24,,,,,,,,,
2:42:25,,,,,,,,,
2:42:26,,,,,,,,,
2:42:27,,,,,,,,,
2:42:28,,,,,,,,,
2:42:29,,,,,,,,,
2:43:00,,,,,,,,,
2:43:01,,,,,,,,,
2:43:02,ff,ff,,,,,,,
2:43:03,fs,fs,,,,,,,
2:43:04,,,,,,,,,
2:43:05,,,,,,,,,
2:43:06,,,,,,,,,
2:43:07,,,,,,,,,
2:43:08,,,,,,,,,
2:43:09,,,,,,,,,
2:43:10,,,,,,,,,
2:43:11,ff,ff,,,,,,,
2:43:12,bs,as,,,,,,,
2:43:13,,,,,,,,,
2:43:14,,,,,,,,,
2:43:15,,,,,,,,,
2:43:16,,,,,,,,,
2:43:17,,,,,,,,,
2:43:18,,,,,,,,,
2:43:19,,,,,,,,,
2:43:20,,,,,,,,,
2:43:21,,,,,,,,,
2:43:22,,,,,,,,,
2:43:23,,,,,,,,,
2:43:24,bf,,,,,,,,
2:43:25,bs,af,,,,,,,
2:43:26,,,,,,,,,
2:43:27,,,,,,,,,
2:43:28,,,,,,,,,
2:43:29,,,,,,,,,
2:44:00,,,,,,,,,
2:44:01,,,,,,,,,
2:44:02,,,,,,,,,
2:44:03,bf,,,,,,,,
,,,,,,,a,1,
,,,,,,,,,13
3:10:27,fs,fs,,,,,,,
3:10:28,,,,,,,,,
3:10:29,,,,,,,,,
3:11:00,,,,,,,,,
3:11:01,,,,,,,,,
3:11:02,,,,,,,,,
3:11:03,,,,,,,,,
3:11:04,,,,,,,,,
3:11:05,,,,,,,,,
3:11:06,,,,,,,,,
3:11:07,,,,,,,,,
3:11:08,,ff,,,,,,,
3:11:09,ff,fs,,,,,,,
3:11:10,fs,,,,,,,,
3:11:11,,,,,,,,,
3:11:12,,,,,,,,,
3:11:13,,,,,,,,,
3:11:14,,,,,,,,,
3:11:15,,,,,,,,,
3:11:16,,,,,,,,,
3:11:17,ff,ff,,,,,,,
