time,foot1,foot2,hand1,hand2,pos1,pos2,ground,result,flow,score,bout
,,,,,,,,,,,1
5:35:01,,,,,,,,,,,
5:35:02,,,,,,,,,,,
5:35:03,,,,,,,,,,,
5:35:04,ff,ff,,,,,,,,,
5:35:05,as,fs,,,,,,,,,
5:35:06,,,,,,,,,,,
5:35:07,,,,,,,,,,,
5:35:08,,,,,,,,,,,
5:35:09,,,,,,,,,,,
5:35:10,,ff,,,,,,,,,
5:35:11,,bs,,,,,,,,,
5:35:12,,,,,,,,,,,
5:35:13,,,,,,,,,,,
5:35:14,,,,,,,,,,,
5:35:15,,,,,,,,,,,
5:35:16,,,,,,,,,,,
5:35:17,,,as,,,,,,,,
5:35:18,,,,,,,,,,,
5:35:19,,,,,,,,,,,
5:35:20,af,,,,,,,,,,
5:35:21,,,,,,,,,,,
5:35:22,,,,,,,,,,,
5:35:23,,,af,,,,,,,,
5:35:24,,,,,,,,,,,
5:35:25,,,,,,,,,,,
5:35:26,,,,,,,,,,,
5:35:27,,,,,,,,,,,
5:35:28,,,,,,,,,,,
5:35:29,,,,,,,,,,,
5:36:00,,,,,,,,,,,
5:36:01,,,,,,,,,,,
5:36:02,,,,,,,,,,,
5:36:03,,bf,,,,,,,,,
5:36:04,,bs,,,,,,,,,
5:36:05,,,,,,,,,,,
5:36:06,,,,,,,,,,,
5:36:07,,,,,,,,,,,
5:36:08,,,,,,,,,,,
5:36:09,,,,,,,,,,,
5:36:10,,,,,,,,,,,
5:36:11,,bf,,,,,,,,,
5:36:12,fs,fs,,,,,,,,,
5:36:13,,,,,,,,,,,
5:36:14,,,,,,,,,,,
5:36:15,,,,,,,,,,,
5:36:16,,,,,,,,,,,
5:36:17,,,,,,,,,,,
5:36:18,,,,,,,,,,,
5:36:19,,,,,,,,,,,
5:36:20,,,,,,,,,,,
5:36:21,,,,,,,,,,,
5:36:22,,,,,,,,,,,
5:36:23,,ff,,,,,,,,,
5:36:24,ff,fs,,,,,,,,,
5:36:25,bs,,,,,,,,,,
5:36:26,,,,,,,,,,,
5:36:27,,,,,,,,,,,
5:36:28,,,,,,,,,,,
5:36:29,,,,,,,,,,,
5:37:00,,,,,,,,,,,
5:37:01,,,,,,,,,,,
5:37:02,,,,,,,,,,,
5:37:03,,,,,,,,,,,
5:37:04,,,,,,,,,,,
5:37:05,bf,ff,,,,,,,,,
5:37:06,bs,as,,,,,,,,,
5:37:07,,,,,,,,,,,
5:37:08,,,,,,,,,,,
5:37:09,,,,,,,,,,,
5:37:10,,,,as,,,,,,,
5:37:11,,,,,,,,,,,
5:37:12,,,,,,,,,,,
5:37:13,,,ps,,,,,,,,
5:37:14,,,,,,,,,,,
5:37:15,,,,,,,,,,,
5:37:16,bf,af,pf,h,,,,,,,
,,,,,,,,a,fbbbff,2,
,,,,,,,,,,,15
5:56:06,fs,fs,,,,,,,,,
5:56:07,,,,,,,,,,,
5:56:08,,,,,,,,,,,
5:56:09,,,,,,,,,,,
5:56:10,,,,,,,,,,,
5:56:11,,,,,,,,,,,
5:56:12,,,,,,,,,,,
